SEXO,IDSEXO,TIPOCUERPO,IDTIPOCUERPO,TIPO,IDTIPO,MODELO,IDMODELO,ALTURA,FORMA,PLIEGUES,VUELOS,CAPAS,PRENDAAPTA
MUJER,1,RECTANGULO,3,FALDA,1,CAPA,14,MEDIO,A,NO,NO,SI,1
MUJER,1,RECTANGULO,3,FALDA,1,A PÉTALOS,15,MEDIO,A,NO,NO,SI,1
MUJER,1,RECTANGULO,3,FALDA,1,CAPEADA,16,LARGO,A,NO,SI,NO,1
MUJER,1,RECTANGULO,3,FALDA,1,CON CANESÚ,17,CORTO,A,SI,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,TABLEADA,1,LARGO,A,SI,NO,NO,1
MUJER,1,MANZANA,4,FALDA,1,LAPIZ,2,LARGO,RECTO,NO,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,ASIMÉTRICA,3,LARGO,A,NO,SI,NO,1
MUJER,1,MANZANA,4,FALDA,1,GODETS,4,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,SIRENA,5,LARGO,SIRENA,NO,SI,NO,0
MUJER,1,MANZANA,4,FALDA,1,EN A,6,MEDIO,A,NO,SI,NO,1
MUJER,1,MANZANA,4,FALDA,1,PEPLUM,7,CORTO,RECTO,NO,SI,NO,0
MUJER,1,MANZANA,4,FALDA,1,ABULLONADA,8,MEDIO,CIRCULAR,SI,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,DRAPEADA,9,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,MINI,10,CORTO,RECTO,NO,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,TUBO,11,LARGO,RECTO,NO,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,PAREO,12,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,TULIPAN,13,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,MANZANA,4,FALDA,1,CAPA,14,MEDIO,A,NO,NO,SI,1
MUJER,1,MANZANA,4,FALDA,1,A PÉTALOS,15,MEDIO,A,NO,NO,SI,1
MUJER,1,MANZANA,4,FALDA,1,CAPEADA,16,LARGO,A,NO,SI,NO,1
MUJER,1,MANZANA,4,FALDA,1,CON CANESÚ,17,CORTO,A,SI,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,TABLEADA,1,LARGO,A,SI,NO,NO,1
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,LAPIZ,2,LARGO,RECTO,NO,NO,NO,1
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,ASIMÉTRICA,3,LARGO,A,NO,SI,NO,1
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,GODETS,4,MEDIO,RECTO,SI,NO,NO,1
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,SIRENA,5,LARGO,SIRENA,NO,SI,NO,1
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,EN A,6,MEDIO,A,NO,SI,NO,1
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,PEPLUM,7,CORTO,RECTO,NO,SI,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,ABULLONADA,8,MEDIO,CIRCULAR,SI,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,DRAPEADA,9,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,MINI,10,CORTO,RECTO,NO,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,TUBO,11,LARGO,RECTO,NO,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,PAREO,12,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,TULIPAN,13,MEDIO,RECTO,SI,NO,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,CAPA,14,MEDIO,A,NO,NO,SI,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,A PÉTALOS,15,MEDIO,A,NO,NO,SI,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,CAPEADA,16,LARGO,A,NO,SI,NO,0
MUJER,1,PERA/TRIANGULO/DIAMANTE,5,FALDA,1,CON CANESÚ,17,CORTO,A,SI,NO,NO,0
